Article_ID,Coords_Ref,Coords_Impact
EBAF4B4Y,"4.470969030164736, 3.2878600304230883
4.4537287896885225, 2.799386550263702
5.212299370641921, 2.1729911462946068
5.821454534134804, 1.5810762232779387
4.976682750800336, 1.6615306788336022
","2.0056146420661864, 2.368380538358361
2.4308739071461227, 2.293672829628102
2.9021071468292954, 1.6040632105795565
2.6205165523844727, 1.069615755816934
2.0515886166694224, 0.8569861232769659
"
I53DMVJJ,"4.150654781038228, 2.662691378387474
4.3734300376476245, 2.1233407571226186
3.505779038221554, 7.083021470058129
5.651456509775214, 7.622372091322983
","5.780431658338549, 2.7564914864335353
4.889330631900964, 2.803391540456566
4.736905456326113, 4.1869431341359755
3.564404105750343, 4.397993377239614
4.408605078164897, 5.042869120056288
"
KU3I4JV4,"12.268171258601202, 7.667228297655956
12.309828885964873, 7.583913042928613
14.18442211733008, 7.167336769291899
14.18442211733008, 7.02153507351905
20.703840799744643, 5.167770655835677
21.037101818654012, 5.209428283199348
20.703840799744643, 4.959482519017321
20.828813681835655, 4.876167264289978
","19.974832320880395, 9.146074069066286
19.974832320880395, 9.354362205884643
20.453895035562613, 8.562867285974889
20.308093339789764, 8.521209658611218
20.058147575607737, 8.31292152179286
19.95400350719856, 8.229606267065519
19.870688252471215, 7.9796605028834895
19.99566113456223, 7.958831689201654
14.80928652778515, 5.9384367620635965
14.91343059619433, 6.125896085200117
14.663484832012301, 6.146724898881953
14.62182720464863, 6.06340964415461
14.62182720464863, 5.959265575745432
14.559340763603124, 5.875950321018089
14.413539067830275, 6.105067271518282
14.205250931011916, 6.39667066306398
"
UDTVCQ8X,"10.25301204819277, 6.518481942341314
12.25301204819277, 5.67510844836541
13.036144578313252, 3.638963870052158
12.240963855421686, 1.5305301351123992
10.301204819277109, 0.6630602555943262
8.265060240963855, 1.5064337495702296
7.481927710843373, 3.7353494122208324
8.301204819277109, 5.711253026678663
","9.843373493975903, 4.036554231497941
10.265060240963853, 4.193180737522037
10.686746987951807, 4.012457845955772
10.831325301204819, 3.6148674845099893
10.638554216867469, 3.169084351979868
10.289156626506022, 3.0124578459557725
9.843373493975903, 3.169084351979868
9.662650602409638, 3.699204833907579
"
QY8EIDXU,"8.42222222222222, 14.120618034447821
8.844444444444445, 13.787284701114489
9.466666666666667, 13.476173590003377
9.6, 13.320618034447822
9.622222222222222, 12.942840256670042
11.844444444444443, 13.80950692333671
12.066666666666666, 13.8983958122256
12.222222222222221, 13.565062478892264
11.066666666666666, 12.187284701114487
9.822222222222223, 12.142840256670043
10.42222222222222, 11.809506923336711
10.133333333333333, 11.6983958122256
9.866666666666665, 11.72061803444782
","16.066666666666666, 3.009506923336711
15.799999999999999, 3.2761735900033764
15.577777777777778, 3.32061803444782
15.022222222222222, 4.120618034447821
14.533333333333333, 4.920618034447821
14.288888888888888, 5.498395812225598
13.71111111111111, 6.40950692333671
13.044444444444444, 6.965062478892266
12.488888888888889, 7.142840256670044
12.466666666666667, 7.453951367781155
11.911111111111111, 7.342840256670043
10.822222222222221, 7.631729145558932
9.911111111111111, 8.165062478892265
8.977777777777778, 8.542840256670043
"
9AMTPQG7,"2.314670511081458, 2.156190752599039
2.2023782014671776, 2.196036410849268
1.7242303024644354, 2.18516941314466
1.4453106947128354, 1.8301808214608055
1.2315930731888822, 1.8048244934833875
0.8077801627091787, 1.460702899504141
1.2098590777796667, 1.2542299431165929
0.9961414562557137, 1.0622463170018555
1.4054650364626067, 0.652922736794962
1.3837310410533914, 0.6166994111129361
1.5576030043271158, 0.6927683950451906
1.5503583391907105, 0.6275664088175441
","2.296558848240445, 2.1706800828718498
2.245846192285609, 2.167057750303647
2.1444208803759364, 2.156190752599039
1.8981022657381599, 2.1272120920534183
1.6880069767824093, 2.1272120920534183
1.4996456832358742, 2.0873664338031896
1.5105126809404823, 1.7939574957787794
1.369241710780581, 1.6237078650732577
1.2062367452114642, 1.6490641930506758
1.198992080075059, 1.90624980539306
0.8729821489368255, 1.5403942160045978
0.8983384769142436, 1.3810115830036838
1.108433765869994, 1.2940756013668215
1.1048114333017915, 1.2433629454119852
1.0722104401879682, 1.1057143078202865
1.0649657750515629, 1.0187783261834242
"
T6FMITCA,"99,41341008881793; 125,86554090780265
99,41341008881793; 124,11376275645783
121,74858151846426; 133,96751485777241
121,52960924954616; 135,50032074019913","99,19443781989983; 124,98965183213025
121,31063698062806; 137,0331266226258"
54Z6KPZK,"1.1008711031083427, 6.231430013813277
1.0916971772491064, 5.680994462259106
1.0916971772491064, 5.28651565031195
1.1008711031083427, 4.882862912505557
1.1283928806860513, 4.433340545402984
1.1192189548268152, 4.020513881737355
1.1008711031083427, 3.543469737057074
1.110045028967579, 3.3324694422946415
1.1008711031083427, 3.112295221672973
1.1008711031083427, 2.6627728545703993
1.0916971772491064, 2.222424413327062
1.0916971772491064, 2.0022501927053935
1.0916971772491064, 1.7820759720837256
1.110045028967579, 1.3417275308403884
1.1008711031083427, 1.387597160136569
1.1375668065452873, 1.4059450118550416
1.1559146582637598, 1.360075382558861
1.2384799909968855, 1.5527278256028207
1.2476539168561216, 1.5160321221658755
1.3026974720115387, 1.387597160136569
1.2935235461523027, 1.277510049825735
1.2476539168561216, 1.24081434638879
1.0825232513898704, 1.24081434638879
1.0366536220936893, 1.2041186429518456
1.1008711031083427, 0.9564226447524681
1.0733493255306341, 0.983944422330177
1.2751756944338304, 1.0848576067817746
1.2293060651376493, 1.0665097550633027
1.2384799909968855, 1.0481619033448302
1.697176283958695, 1.1490750877964286
1.706350209817931, 1.561901751462057
1.4403063599000816, 1.5710756773212933
1.4127845823223733, 1.5435538997435845
1.5687413219293884, 1.6077713807582377
1.5412195443516798, 1.6536410100544183
1.3944367306039007, 1.7729020462244893
1.3852628047446645, 1.7178584910690715
1.4494802857593179, 1.8279456013799062
1.4953499150554987, 1.8371195272391425
1.605437025366333, 1.8554673789576153
1.651306654662514, 1.8279456013799062
1.5595673960701522, 1.9288587858315047
1.5595673960701522, 1.9747284151276854
1.779741616691821, 1.6628149359136546
1.798089468410293, 1.6903367134913636
1.8623069494249462, 1.7178584910690715
1.9173505045803636, 1.6995106393505999
1.981567985595017, 1.7362063427875443
2.018263689031962, 1.7178584910690715
1.9265244304395996, 1.8279456013799062
1.8623069494249462, 1.846293453098379
1.8347851718472379, 1.901337008253796
1.752219839114112, 1.9655544892684491
1.743045913254876, 2.020598044423866
1.6237848770848056, 2.0848155254385192
1.605437025366333, 2.1123373030162282
1.4678281374777904, 2.0939894512977557
1.403610656463137, 2.0848155254385192
1.4586542116185541, 2.2315983391862986
1.4403063599000816, 2.2774679684824797
1.3485671013077198, 2.3692072270748414
1.3485671013077198, 2.4150768563710225
1.3210453237300113, 2.5435118184003294
1.3485671013077198, 2.561859670118802
1.5228716926332075, 2.598555373555746
1.5595673960701522, 2.598555373555746
1.6788284322402227, 2.506816114963384
1.6880023580994588, 2.451772559807967
1.6237848770848056, 2.4792943373856757
1.5228716926332075, 2.4701204115264397
1.5412195443516798, 2.4425986339487307
1.605437025366333, 2.3783811529340775
1.6421327288032779, 2.323337597778661
1.5779152477886247, 2.332511523637897
1.8256112459880016, 2.525163966681857
1.8347851718472379, 2.460946485667203
1.7155241356771675, 2.6352510769926907
1.743045913254876, 2.6719467804296357
1.8623069494249462, 2.7178164097258164
1.9632201338765443, 2.6444250028519267
1.935698356298836, 2.598555373555746
2.036611540750434, 2.626077151133455
2.082481170046615, 2.626077151133455
2.0733072441873786, 2.534337892541093
2.100829021765087, 2.506816114963384
2.100829021765087, 2.39672900465255
2.082481170046615, 2.075641599579283
2.0457854666096704, 1.8921630823945597
2.1100029476243236, 1.8554673789576153
2.2109161320759214, 1.7545541945060168
2.1925682803574493, 1.7178584910690715
2.366872871682937, 1.8279456013799062
2.2567857613721025, 1.6077713807582377
2.265959687231339, 1.5435538997435845
2.366872871682937, 1.5527278256028207
2.3393510941052282, 1.4976842704474038
2.3118293165275197, 1.3784232342773328
2.265959687231339, 1.3692493084180966
2.330177168245992, 1.3142057532626794
2.4494382044160625, 1.3417275308403884
2.476959981993771, 1.3692493084180966
2.5411774630084243, 1.4151189377142779
2.5778731664453693, 1.3692493084180966
2.6971342026154397, 1.4518146411512223
2.761351683630093, 1.4609885670104585
2.6879602767562036, 1.5710756773212933
2.6879602767562036, 1.616945306617474
2.6512645733192586, 1.5894235290397651
2.5320035371491882, 1.5343799738843482
2.486133907853007, 1.5710756773212933
2.128350799342796, 1.4976842704474038
2.0457854666096704, 1.479336418728931
2.293481464809047, 2.213250487467826
2.3760467975421733, 2.4150768563710225
2.3393510941052282, 2.424250782230258
2.229263983794394, 2.525163966681857
2.2567857613721025, 2.4701204115264397
2.3026553906682836, 2.6169032252742186
2.3210032423867557, 2.6719467804296357
2.128350799342796, 2.6719467804296357
2.1558725769205047, 2.7178164097258164
1.9081765787211273, 2.451772559807967
1.981567985595017, 2.451772559807967
2.43109035269759, 2.6627728545703993
2.467786056134535, 2.6169032252742186
2.513655685430716, 2.6444250028519267
2.632916721600786, 2.58938144769651
2.6237427957415504, 2.525163966681857
2.5044817595714797, 2.497642189104148
2.513655685430716, 2.4425986339487307
2.5962210181638414, 2.4425986339487307
2.5870470923046054, 2.3692072270748414
2.6879602767562036, 2.4425986339487307
2.7430038319116203, 2.58938144769651
2.715482054333912, 2.561859670118802
2.770525609489329, 2.387555078793314
2.807221312926274, 2.39672900465255
2.798047387067038, 2.3416854494971333
2.8897866456593997, 2.332511523637897
2.963178052533289, 2.332511523637897
2.880612719800163, 2.2774679684824797
2.935656274955581, 2.259120116764007
2.954004126674053, 2.5159900408226203
2.9264823490963443, 2.497642189104148
2.954004126674053, 2.4425986339487307
3.0916130145625957, 2.451772559807967
3.0824390887033597, 2.39672900465255
3.045743385266415, 2.2315983391862986
2.999873755970234, 2.185728709890118
2.963178052533289, 2.0664676737200476
3.0273955335479426, 2.0664676737200476
2.8530909422224546, 2.1306851547347008
2.81639523878551, 2.158206932312409
2.6971342026154397, 2.01142411856463
2.8530909422224546, 1.993076266846158
2.908134497377872, 1.9563805634092128
2.880612719800163, 1.846293453098379
2.9173084232371083, 1.7453802686467805
2.8897866456593997, 1.7362063427875443
2.8989605715186357, 1.6077713807582377
2.8897866456593997, 1.5527278256028207
2.8714387939409276, 1.561901751462057
2.8255691646447465, 1.5527278256028207
2.7796995353485654, 1.5527278256028207
2.9264823490963443, 1.442640715291986
2.963178052533289, 1.4609885670104585
2.8989605715186357, 1.103205458500247
3.4952657523689883, 1.3509014566996247
4.100744859078577, 1.1123793843594834
4.109918784937813, 1.561901751462057
4.04570130392316, 1.7729020462244893
3.4952657523689883, 1.7912498979429612
3.0916130145625957, 1.7362063427875443
3.100786940421832, 1.7820759720837256
3.0732651628441237, 1.7820759720837256
3.4952657523689883, 2.185728709890118
3.990657748767742, 2.01142411856463
4.100744859078577, 2.4425986339487307
3.504439678228224, 2.6169032252742186
4.100744859078577, 2.901294926910541
3.4952657523689883, 3.130643073391445
4.082397007360104, 3.3324694422946415
3.504439678228224, 3.570991514634782
4.100744859078577, 3.7819918093972142
3.5136136040874604, 4.002166030018883
4.091570933219341, 4.222340250640552
3.4952657523689883, 4.396644841966039
4.100744859078577, 4.671862617743125
3.531961455805933, 4.90121076422403
4.100744859078577, 5.112211058986462
3.4952657523689883, 5.341559205467367
4.100744859078577, 5.506689870933618
3.504439678228224, 5.781907646710704
4.091570933219341, 6.020429719050845
4.100744859078577, 6.451604234434945
3.5136136040874604, 6.213082162094805
2.8989605715186357, 6.433256382716474
2.8897866456593997, 6.002081867332373
2.908134497377872, 5.534211648511327
2.8897866456593997, 4.222340250640552
2.8897866456593997, 2.8921210010513043
1.697176283958695, 2.901294926910541
1.706350209817931, 3.341643368153877
1.697176283958695, 3.8095135869749233
1.6788284322402227, 4.268209879936733
1.6880023580994588, 4.653514766024653
1.85313302356571, 4.855341134927849
1.6421327288032779, 5.112211058986462
1.706350209817931, 5.5709073519482715
1.6880023580994588, 6.029603644910081
1.7338719873956399, 6.488299937871891
1.7889155425510568, 6.524995641308835
1.8623069494249462, 6.534169567168071
2.3118293165275197, 6.203908236235568
2.3026553906682836, 5.763559794992231
2.293481464809047, 5.341559205467367
2.3026553906682836, 4.910384690083266
2.3026553906682836, 4.451688397121456
2.2751336130905746, 4.020513881737355
2.284307538949811, 3.5251218853386015
2.284307538949811, 3.112295221672973
2.3943946492606454, 3.1581648509691536
3.2383958283103746, 2.6994685580073448
3.2934393834657922, 2.7178164097258164
3.265917605888083, 2.8462513717551228
3.1558304955772494, 2.8095556683181786
3.146656569718013, 2.772859964881234
3.0732651628441237, 2.763686039021998
3.0365694594071786, 2.772859964881234
3.064091236984887, 2.653598928711163
3.1191347921403043, 2.598555373555746
3.0549173111256507, 2.9471645562067215
3.1099608662810683, 2.928816704488249
3.064091236984887, 3.075599518236028
3.0273955335479426, 3.0664255923767914
3.064091236984887, 3.0113820372213747
3.1925261990141935, 3.103121295813737
3.247569754169611, 3.0939473699545004
3.0824390887033597, 3.277425887139224
3.0732651628441237, 3.2223823319838067
2.963178052533289, 3.1948605544060986
2.935656274955581, 3.1489909251099175
2.9264823490963443, 3.369165145731586
2.9173084232371083, 3.314121590576169
2.6971342026154397, 3.314121590576169
2.770525609489329, 3.3324694422946415
2.7888734612078014, 3.415034775027767
2.8897866456593997, 3.5251218853386015
2.9173084232371083, 3.570991514634782
2.81639523878551, 3.626035069790199
2.798047387067038, 3.6443829215086714
2.660438499178495, 3.570991514634782
2.660438499178495, 3.515947959479365
2.908134497377872, 3.7819918093972142
2.7063081284746757, 3.7819918093972142
2.632916721600786, 3.745296105960269
2.5962210181638414, 3.8462092904118683
2.6237427957415504, 3.8003396611156868
2.5503513888676608, 3.7911657352564507
2.715482054333912, 3.882904993848813
2.7430038319116203, 3.919600697285757
2.7888734612078014, 3.9012528455672846
2.6879602767562036, 4.011339955878119
2.6237427957415504, 4.011339955878119
2.486133907853007, 3.992992104159647
2.5044817595714797, 4.112253140329718
2.5228296112899518, 4.038861733455827
2.678786350896967, 4.1030792144704815
2.6971342026154397, 4.1306009920481905
2.6879602767562036, 4.222340250640552
2.6237427957415504, 4.249862028218261
2.568699240586133, 4.314079509232913
2.7338299060523843, 4.369123064388331
2.6971342026154397, 4.359949138529094
2.7888734612078014, 4.506731952276874
2.8347430905039825, 4.506731952276874
2.6512645733192586, 4.433340545402984
2.6512645733192586, 4.488384100558401
2.6420906474600225, 4.58929728501
2.6053949440230775, 4.625992988446944
2.7063081284746757, 4.671862617743125
2.8347430905039825, 4.607645136728471
2.8439170163632186, 4.653514766024653
2.8989605715186357, 4.653514766024653
2.9448302008148164, 4.809471505631668
2.81639523878551, 4.818645431490904
2.770525609489329, 4.8369932832093765
2.963178052533289, 4.992950022816392
2.963178052533289, 5.057167503831045
2.908134497377872, 5.1672546141418785
2.8530909422224546, 5.075515355549517
2.8714387939409276, 4.983776096957155
2.7796995353485654, 5.047993577971808
2.7063081284746757, 5.112211058986462
2.678786350896967, 5.176428540001115
2.669612425037731, 5.2314720951565326
2.5778731664453693, 5.323211353748894
2.614568869882314, 5.369080983045076
2.770525609489329, 5.387428834763548
2.8255691646447465, 5.350733131326603
2.761351683630093, 5.506689870933618
2.7338299060523843, 5.534211648511327
2.6971342026154397, 5.607603055385216
2.6971342026154397, 5.635124832962925
2.6512645733192586, 5.653472684681398
2.5962210181638414, 5.5892552036667436
2.5320035371491882, 5.515863796792854
2.4586121302752986, 5.59842912952598
2.412742500979118, 5.635124832962925
2.5320035371491882, 5.67182053639987
2.513655685430716, 5.717690165696051
2.486133907853007, 5.754385869132995
2.4494382044160625, 5.781907646710704
2.4494382044160625, 5.827777276006884
2.2109161320759214, 5.836951201866121
2.1466986510612682, 5.818603350147648
2.3210032423867557, 5.846125127725357
2.3118293165275197, 5.901168682880774
2.1925682803574493, 5.937864386317719
2.229263983794394, 6.002081867332373
2.1191768734835597, 5.9929079414731365
2.0457854666096704, 5.901168682880774
2.018263689031962, 5.947038312176955
2.091655095905851, 6.121342903502443
2.1375247252020317, 6.158038606939387
1.9540462080173084, 6.10299505178397
1.8898287270026548, 6.093821125924735
1.85313302356571, 6.240603939672513
1.8439590977064741, 6.3048214206871664
2.018263689031962, 6.3048214206871664
2.018263689031962, 6.258951791390985
2.0733072441873786, 6.268125717250222
1.981567985595017, 6.405734605138765
2.0549593924689065, 6.433256382716474
","1.0825232513898704, 6.460778160294182
1.110045028967579, 6.029603644910081
1.1008711031083427, 5.5800812778075075
1.1008711031083427, 5.130558910704934
1.0916971772491064, 4.671862617743125
1.0916971772491064, 4.268209879936733
1.0916971772491064, 3.7269482542417975
1.0825232513898704, 2.901294926910541
1.0825232513898704, 2.460946485667203
1.1559146582637598, 1.5802496031805289
1.2843496202930664, 1.561901751462057
1.0733493255306341, 1.1949447170926093
1.1008711031083427, 1.103205458500247
1.1008711031083427, 1.0298140516263576
1.3302192495892475, 1.3325536049811522
1.2751756944338304, 1.3325536049811522
1.256827842715358, 1.277510049825735
1.4219585081816093, 1.5068581963066392
1.5412195443516798, 1.5985974548990014
1.4127845823223733, 1.7178584910690715
1.4678281374777904, 1.7820759720837256
1.6604805805217502, 1.8646413048168506
1.6696545063809864, 1.7912498979429612
1.550393470210916, 1.9563805634092128
1.6146109512255693, 2.1215112288754643
1.4586542116185541, 2.1123373030162282
1.706350209817931, 1.9839023409869216
1.8439590977064741, 1.8646413048168506
1.7705676908325847, 1.7086845652098361
1.9081765787211273, 1.727032416928308
1.9723940597357807, 1.6811627876321273
2.091655095905851, 1.561901751462057
1.706350209817931, 1.3417275308403884
2.1650465027797408, 1.7545541945060168
2.082481170046615, 1.9196848599722685
2.3118293165275197, 1.561901751462057
2.3026553906682836, 1.3325536049811522
2.2384379096536304, 1.158249013655664
2.412742500979118, 1.387597160136569
2.3026553906682836, 1.4976842704474038
2.6053949440230775, 1.4334667894327504
2.5411774630084243, 1.5802496031805289
2.7430038319116203, 1.4151189377142779
2.798047387067038, 1.6077713807582377
2.862264868081691, 1.6077713807582377
2.954004126674053, 1.442640715291986
2.8897866456593997, 1.3417275308403884
2.8897866456593997, 1.6903367134913636
3.045743385266415, 1.7178584910690715
2.862264868081691, 1.873815230676087
2.999873755970234, 2.1306851547347008
3.1099608662810683, 2.1123373030162282
3.0273955335479426, 2.249946190904771
2.8714387939409276, 2.194902635749354
2.8530909422224546, 2.1490330064531724
2.908134497377872, 2.3692072270748414
3.045743385266415, 2.424250782230258
2.9264823490963443, 2.460946485667203
3.2750915317473197, 2.01142411856463
3.4952657523689883, 2.020598044423866
3.2934393834657922, 1.5985974548990014
3.504439678228224, 1.5710756773212933
4.109918784937813, 1.3509014566996247
3.4952657523689883, 1.130727236077956
4.155788414233994, 2.1765547840308814
3.5136136040874604, 2.4334247080894946
3.3117872351842643, 2.4701204115264397
2.7063081284746757, 2.5435118184003294
2.7063081284746757, 2.5435118184003294
2.6053949440230775, 2.5802075218372735
2.6420906474600225, 2.387555078793314
2.4494382044160625, 2.4792943373856757
2.4402642785568265, 2.598555373555746
2.3393510941052282, 2.451772559807967
2.284307538949811, 2.4425986339487307
2.2109161320759214, 2.488468263244912
2.284307538949811, 2.653598928711163
2.2567857613721025, 2.653598928711163
2.1191768734835597, 2.726990335585053
2.0549593924689065, 2.653598928711163
2.128350799342796, 2.5435118184003294
1.9632201338765443, 2.506816114963384
1.899002652861891, 2.6352510769926907
1.8072633942695293, 2.4792943373856757
1.6880023580994588, 2.6719467804296357
1.651306654662514, 2.6719467804296357
1.6421327288032779, 2.460946485667203
1.5228716926332075, 2.4150768563710225
1.697176283958695, 2.2315983391862986
1.8439590977064741, 2.2682940426232436
1.4678281374777904, 2.2774679684824797
1.3852628047446645, 2.3783811529340775
1.3118713978707752, 2.5710335959780375
1.5136977667739713, 2.626077151133455
2.3485250199644643, 1.993076266846158
2.495307833712243, 2.213250487467826
2.5044817595714797, 1.7912498979429612
4.054875229782396, 2.626077151133455
3.2934393834657922, 2.6719467804296357
3.1099608662810683, 2.6719467804296357
3.0732651628441237, 2.736164261444289
3.1283087179995404, 2.800381742458942
3.064091236984887, 2.6444250028519267
3.4952657523689883, 2.901294926910541
3.2934393834657922, 2.901294926910541
3.265917605888083, 2.8921210010513043
3.2200479765919026, 2.873773149332832
3.100786940421832, 2.9563384820659575
3.0365694594071786, 3.103121295813737
3.20170012487343, 3.057251666517556
2.908134497377872, 3.103121295813737
2.8989605715186357, 3.1489909251099175
3.0365694594071786, 3.2407301837022793
2.880612719800163, 2.681120706288872
2.7063081284746757, 2.8921210010513043
2.3026553906682836, 2.901294926910541
2.1558725769205047, 2.9196427786290124
1.899002652861891, 3.130643073391445
1.6880023580994588, 3.130643073391445
1.85313302356571, 3.5342958111978375
1.697176283958695, 3.5618175887755466
2.091655095905851, 3.3324694422946415
2.3026553906682836, 3.341643368153877
2.7338299060523843, 3.378339071590822
2.9173084232371083, 3.341643368153877
3.2934393834657922, 3.3508172940131136
3.4952657523689883, 3.3966869233092947
4.109918784937813, 3.130643073391445
4.16496234009323, 3.4425565526054753
3.449396123072807, 3.772817883537978
3.330135086902737, 3.8095135869749233
3.1099608662810683, 3.5893393663532547
2.8897866456593997, 3.5618175887755466
2.8255691646447465, 3.6627307732271444
2.6971342026154397, 3.506774033620129
2.5320035371491882, 3.55264366291631
2.660438499178495, 3.8003396611156868
2.559525314726897, 3.8645571421303404
2.265959687231339, 3.8462092904118683
2.1558725769205047, 3.855383216271104
1.8898287270026548, 3.983818178300411
1.6880023580994588, 4.020513881737355
2.082481170046615, 4.167296695485135
2.3210032423867557, 4.222340250640552
2.568699240586133, 4.0755574368927725
2.632916721600786, 4.0480356593150635
2.660438499178495, 4.1030792144704815
2.559525314726897, 4.231514176499788
2.715482054333912, 4.341601286810622
2.6420906474600225, 4.451688397121456
2.495307833712243, 4.4608623229806925
2.8439170163632186, 4.451688397121456
2.908134497377872, 4.433340545402984
3.1099608662810683, 4.433340545402984
3.1191347921403043, 4.002166030018883
2.8530909422224546, 4.002166030018883
3.302613309325028, 4.213166324781316
3.4952657523689883, 4.286557731655205
4.100744859078577, 4.029687807596591
4.091570933219341, 4.4608623229806925
3.5136136040874604, 4.690210469461598
3.3209611610435004, 4.681036543602361
2.8439170163632186, 4.644340840165416
2.669612425037731, 4.625992988446944
2.284307538949811, 4.616819062587708
2.091655095905851, 4.726906172898542
1.9173505045803636, 4.44251447126222
1.6788284322402227, 4.451688397121456
1.706350209817931, 4.910384690083266
2.5044817595714797, 4.90121076422403
2.284307538949811, 5.148906762423407
2.0733072441873786, 5.121384984845698
2.81639523878551, 4.873688986646321
2.9264823490963443, 4.772775802194723
2.8989605715186357, 4.8278193573501405
3.0916130145625957, 4.910384690083266
3.3117872351842643, 5.112211058986462
3.4952657523689883, 5.121384984845698
4.091570933219341, 4.910384690083266
4.100744859078577, 5.332385279608131
3.4952657523689883, 5.561733426089035
3.2842654576065557, 5.5892552036667436
3.100786940421832, 5.387428834763548
2.9173084232371083, 5.038819652112572
2.8439170163632186, 5.029645726253336
2.7796995353485654, 4.97460217109792
2.6237427957415504, 5.2314720951565326
2.6420906474600225, 5.304863502030423
2.495307833712243, 5.314037427889658
2.761351683630093, 5.341559205467367
2.81639523878551, 5.28651565031195
2.8897866456593997, 5.332385279608131
2.7246559801931483, 5.497515945074382
2.6053949440230775, 5.515863796792854
2.669612425037731, 5.680994462259106
2.495307833712243, 5.699342313977578
2.4402642785568265, 5.635124832962925
2.5228296112899518, 5.79108157256994
2.3485250199644643, 5.873646905303065
2.3026553906682836, 6.011255793191608
2.229263983794394, 5.937864386317719
2.2109161320759214, 5.763559794992231
2.3026553906682836, 5.5800812778075075
2.1650465027797408, 5.5709073519482715
1.899002652861891, 5.359907057185839
1.697176283958695, 5.396602760622784
1.899002652861891, 5.772733720851468
1.697176283958695, 5.763559794992231
1.9907419114542533, 5.901168682880774
1.899002652861891, 6.05712542248779
2.1191768734835597, 6.121342903502443
1.899002652861891, 6.258951791390985
2.027437614891198, 6.479126012012654
1.8623069494249462, 6.469952086153418
1.6880023580994588, 6.231430013813277
2.3026553906682836, 6.414908530998001
2.6971342026154397, 6.038777570769317
2.8989605715186357, 6.185560384517096
2.908134497377872, 5.846125127725357
3.1099608662810683, 5.781907646710704
3.302613309325028, 6.011255793191608
3.4952657523689883, 6.002081867332373
3.504439678228224, 6.433256382716474
4.119092710797049, 6.249777865531749
4.100744859078577, 5.79108157256994
2.862264868081691, 1.9196848599722685
"
QFU9NSKH,"11.144751393606116, 4.921941126483838
11.181777145744341, 6.057397525389445
7.503885766680529, 4.625735109378028
5.467469399078083, 3.663065553784144
3.9247297266519876, 2.8114732546049392
5.504495151216309, 0.8120826391407194
10.823861541741486, 1.2193659126612086
12.317233544649948, 1.7130426078375594
12.082737114441182, 2.5522929896373556
","3.9247297266519876, 4.0086392404075895
3.0978212622316, 1.7994360294934206
6.2326682766014265, 2.786789419846122
8.725735587241997, 1.3921527559729314
9.404541043109479, 3.687749388542962
8.910864347933128, 5.724165756145409
7.047234823642405, 5.30454056524551
11.021332219812027, 1.9969067075639606
12.761542570308663, 1.1946820779023914
"
SW78B979,"3.210526315789474, 7.960018148820327
2.618421052631579, 8.881070780399275
2.171052631578948, 9.196860254083486
1.6447368421052635, 2.4468602540834845
0.6710526315789475, 2.2758076225045376
","3.1710526315789482, 5.933702359346643
2.68421052631579, 4.367912885662432
1.9210526315789478, 3.8284392014519057
1.710526315789474, 3.9600181488203274
1.7368421052631582, 3.4731760435571695
"
H9PVA4JG,"5.502336238636056, 7.8744640508804595
6.233659409594014, 7.897680659482299
5.873801976265495, 6.922583098205024
6.222051105293095, 6.318951274557186
6.175617888089414, 5.54119488639555
6.187226192390334, 4.786655106835753
6.187226192390334, 4.252673108993434
5.571986064441577, 2.7668101584756815
5.026395762298339, 2.639118811165562
3.331583334364026, 6.318951274557186
2.9136843795309075, 6.899366489603183
2.623476772007909, 7.90928896378322
4.086123113923823, 7.932505572385059
","5.571986064441577, 5.007212888553231
5.688069107450776, 4.740221889632073
5.038004066599259, 4.775046802534833
4.73618815477534, 4.612530542321953
3.830740419303584, 4.786655106835753
4.120948026826583, 5.030429497155072
3.807523810701744, 5.5295865820946295
5.014787457997419, 5.8662274068213085
"
2ZSVEKWN,"7.44773891653131, 6.450517178546295
7.060843388399813, 5.660605475277823
4.62662569057248, 7.208187587803809
3.4820597531834694, 7.5950831159353065
6.238690391120383, 8.675166465302402
2.724389343925955, 5.531640299233991
2.9661990490081407, 4.6288840669271645
1.8699950526355669, 3.242508424455969

","5.497140628868348, 7.482238586896952
5.690588392934096, 7.159825646787373
5.593864510901222, 6.934136588710666
5.287572217797121, 6.950257235716145
4.9651592776875395, 7.240428881814767
3.4336978121670323, 6.095862944425757
7.963599620706638, 4.757849242970997
8.608425500925799, 4.902935066020309
"
