Article_ID,Coords_Ref,Coords_Impact
T5ZSHLMU,"1.2075626335419627, 2.1674761861216916
1.17529950974504, 2.2273934160302624
1.1292093328922934, 2.2873106459388333
1.10616424446592, 2.305746716679932
1.0785101383542721, 2.351836893532678
1.0278109438162506, 2.4255811764970736
","1.7882988618865707, 1.5636948693507104
1.299742987247456, 1.3793341619397237
1.5301938715111894, 0.7386807036865451
1.1937355804861387, 0.6879815091485236
2.2768547365256855, 0.6925905268337984
"
ALIB93JT,"2.2968036529680362, 3.306859956659701
0.9360730593607306, 3.2201019657921215
0.5616438356164384, 2.242933016020432
0.9863013698630136, 0.14704260506152778
3.5753424657534247, 0.19270470551814906
3.3652968036529676, 1.160741235198514
","2.1552511415525113, 1.9552617831437193
2.4246575342465753, 1.7817458014085599
2.232876712328767, 1.3433896370249985
2.018264840182648, 1.7497823310889251
1.7899543378995433, 1.4940745685318473
1.8538812785388128, 1.2931613265227153
"
AGI584UU,"2.9291748652936014, 1.139059545393914
3.1990837275034343, 1.0948121909332855
3.601734653095153, 0.833752799615578
3.699078832908536, 0.7364086198021956
","2.7566101828971505, 1.2364037252072964
2.6990886220983334, 1.1744574289624166
"
4IA5MEXH,"4.7295302803584125, 3.0045970964976623
3.933622272013308, 3.6270379748188346
1.5305923237405867, 1.7801232375051932
0.3061184647481173, 1.688287698080758
","1.4744706052034318, 1.4076791053949835
1.5867140422777415, 1.1117645894718036
1.5918160166902102, 0.9076856129730585
0.26020069503589977, 2.0352219581286244
3.9540301696631825, 3.4688767680323074
4.030559785850212, 3.3923471518452777
4.857079640670129, 3.5862221795190856
4.8111618709579105, 3.320919510070717
"
3DKF4CBA,"10.329113924050635, 3.3982795435273445
9.063291139240507, 4.486887138464054
8.544303797468356, 4.309671948590636
","11.227848101265824, 4.727393467577977
11.253164556962025, 4.334988404286838
9.936708860759495, 3.1197985308691165
"
UDIT66L4,"2.7497740252266203, 2.442352584937015
2.6087599726508963, 2.275699613711159
2.6728572692762254, 2.0962271831602375
","2.160078896273592, 1.5321709728573412
2.301092948849316, 1.538580702519874
2.2113567335738553, 1.4232055685942817
"
TYBSI8FL,"10.42947039675004, 6.671115277899751
12.936904046142908, 8.469926374203329
14.281469916107199, 8.37907732893547
12.064753211571476, 3.945643919864026
13.08226251857148, 5.980662533864034
14.862903805821485, 7.3070585947747535
13.627356790178624, 3.8729646836497396
15.64420559512506, 5.235700362667602
16.48001681158935, 5.689945589006889
","14.935583042035773, 2.4738893865247333
16.24380929389292, 3.0008138490783076
17.09779031941078, 3.4913986935247383
19.96862014987508, 5.144851317399745
"
HZVW67TB,"2.5677055625872343, 4.435624405556003
2.6047397774322425, 3.139426885980716
3.505905671994108, 2.1641925617288345
","7.036500820551555, 5.670098233722942
3.9256267735708676, 6.4478167454681135
6.653813933819804, 2.472811018770569
"
NZMJFGQN,"5.273352334802848, 12.558683002862177
4.873477276239599, 12.633659576342785
6.647922848614018, 14.832972398440655
6.447985319332392, 15.232847457003906
6.273039981210971, 15.182863074683498
3.9737583944722883, 14.383112957557001
3.323961424307009, 15.03290992772228
","11.696345462975037, 3.261587891266634
9.821931125959807, 5.735814816126739
7.947516788944577, 7.38529943270014
7.772571450823156, 7.7851744912633905
7.3477042010997025, 7.585236961981765
6.398000937011987, 7.7851744912633905
5.498282055244676, 8.210041740986842
"
BVB3UXJS,"12.83766085905762, 14.787917696786296
8.917965227910928, 14.945757789315692
8.812738499557996, 16.12955848328617
5.655936648970057, 14.077637280404009
4.866736186323073, 10.184248331345552
8.339218221969805, 8.711074134404514
","20.440291982556907, 6.843299706139982
15.336795657439737, 7.237899937463475
10.943579748704854, 6.685459613610588
7.497404395146355, 6.290859382287095
7.418484348881656, 7.737726897139899
9.628245644293214, 3.607577809287345
"
